CVE_Name,CVE_Verified,IP_Of_Vuln_VM,CVE_Fixed
MacKensie Patel,8/25/18,-32.34367,Aenean Inc.
Zeph Spears,4/19/19,17.75046,A Industries
Jemima Newton,12/5/18,53.19775,Varius Nam Porttitor Foundation
Marah Hutchinson,8/14/19,-43.1282,Odio Corporation
Leroy Noel,11/17/18,47.67314,Fusce Aliquam Company
Urielle Cortez,2/1/19,-47.79767,Orci Adipiscing Non Foundation
Miriam Mosley,7/23/20,-18.04689,Mauris Ipsum Porta Institute
Brandon Hansen,6/24/20,70.56083,Eu Ultrices Sit Foundation
Evan Shepard,11/29/18,-23.07017,Conubia Nostra Corp.
Ingrid Webster,5/21/19,13.67779,Dui Fusce Ltd
Duncan Sykes,10/13/18,-8.21926,Morbi Foundation
Hu David,11/26/18,-88.28847,Fermentum Risus Foundation
Hayfa Morrison,7/6/20,85.84581,Aptent Corporation
Josiah Simon,12/11/18,-68.53029,Cum Sociis Natoque LLC
Frances England,12/22/18,55.79583,Mi Tempor Lorem Associates
Thane Walsh,3/13/19,-71.99351,Duis Risus PC
Rudyard Hardin,3/14/20,-28.92644,Integer LLC
Kyla Ashley,4/29/20,12.21654,Dictum Ltd
Preston Small,7/13/20,-50.59707,Iaculis Inc.
Jasper Clark,7/10/20,-52.67182,Nec Leo Inc.
Nathaniel Frye,8/14/20,-53.68803,Tincidunt Company
Anthony Sawyer,6/23/19,-75.0348,Purus In Ltd
Shellie Townsend,12/31/18,11.97886,Convallis Dolor LLP
Sloane Sears,6/19/20,70.27282,Dolor Fusce Industries
Meghan Mosley,8/17/19,47.60507,Ut Ltd
Evan Melendez,1/18/20,-62.14485,Egestas A Dui Inc.
Mary Mcintyre,12/14/18,-64.43675,Eleifend LLC
Isaac Garcia,12/29/19,73.2208,Id Incorporated
Oren Valenzuela,5/29/20,17.05048,At Iaculis Consulting
Kiayada Terrell,11/25/18,-41.35861,Feugiat Associates
Kyle Haynes,8/31/19,69.7104,Egestas Consulting
Yolanda Hudson,2/6/19,-17.81099,A Auctor Incorporated
Alika Pace,3/4/19,14.66135,Dui Cras Pellentesque Corp.
Alexandra Summers,9/5/19,77.07097,Faucibus LLP
Oliver Gillespie,3/9/19,-88.0805,Accumsan Neque Et Corp.
Melissa Oneal,11/6/19,46.19048,Et Netus Corp.
MacKenzie Sandoval,6/6/19,68.81843,Malesuada Augue Industries
Harlan Boyer,3/1/19,-50.96109,Et Corp.
Catherine Sweeney,2/29/20,-4.29136,Nulla Integer Urna Consulting
Wyoming Day,10/1/19,7.7781,Molestie Sodales Mauris Foundation
Oscar Chase,10/12/19,44.71717,Ullamcorper Associates
Carter Berger,7/7/20,-42.35419,Egestas Foundation
Idola Duffy,5/24/20,-6.15189,Lacus Vestibulum Associates
Jada Saunders,12/5/19,-24.23853,Elit LLC
Gannon Bauer,7/8/20,52.52627,Mauris LLC
Dalton Alvarado,10/5/19,78.93432,Magna Sed Industries
Ferdinand Dalton,11/30/19,24.56673,Tristique Neque LLP
Arthur Griffin,2/3/19,47.98625,Erat Vel Consulting
Otto Taylor,7/5/20,66.87492,Consectetuer Adipiscing Foundation
Axel Brennan,2/4/19,-50.34867,Vulputate Institute
Imelda Ball,10/5/18,43.71888,Mus Aenean Eget Incorporated
Armando Robles,6/6/19,-28.33453,Magna Foundation
Sacha Doyle,11/20/19,-20.377,Neque Company
Virginia Beck,6/25/19,-6.79375,Diam Inc.
Mannix Britt,3/12/19,21.10462,Aliquam Fringilla Cursus Consulting
Robert Nash,1/15/19,-80.3602,Cursus In Incorporated
Skyler Vaughan,1/14/20,44.70913,Fermentum Convallis Industries
Jarrod Drake,7/8/20,-56.38368,Sed Dui Fusce Foundation
Quail Dale,4/18/20,37.49165,Et Commodo At Consulting
Sarah Copeland,10/20/19,-5.18689,Mattis Integer Eu LLC
Prescott Williamson,2/8/20,72.88222,Nisi Mauris Associates
Jemima Weeks,3/25/20,23.89291,Ac Urna Ut LLP
Ainsley Lyons,2/4/19,32.83083,Eu Inc.
Petra Kidd,11/20/19,-59.95011,Laoreet Libero Et Foundation
Berk Salas,6/8/19,-83.83777,Tincidunt Vehicula Foundation
Jenette Mcdonald,3/19/20,-73.21998,Cubilia Curae; Inc.
Marvin Keith,12/11/19,-1.53704,Aliquam Vulputate Ullamcorper LLC
Colette Foreman,1/27/19,17.9021,Nec Metus Facilisis Inc.
Stephen Patterson,9/13/18,71.93528,Mi Company
Jamalia Shepard,12/6/19,85.59959,Ut Company
Zeus Fleming,10/9/19,84.4088,Ipsum Donec Sollicitudin Corp.
Mark Fletcher,9/6/19,57.81975,Vel Lectus Cum Institute
Catherine Jefferson,4/8/20,-26.30183,Habitant Corporation
Fallon Neal,1/10/19,-60.39228,Augue LLP
Taylor Carr,8/18/18,32.11433,Penatibus Et Corporation
Tobias Atkins,10/31/19,59.14071,A Neque Consulting
Bryar Pitts,6/4/19,-23.6095,Molestie Arcu PC
Adam Cantu,5/28/19,44.61116,Eu Sem Inc.
Vaughan Barnes,12/3/18,-72.92839,Ut Ipsum Institute
Nasim Sparks,5/19/20,24.48807,Mauris PC
Neville Sanders,9/23/18,-37.54832,Donec At Arcu Corporation
Kathleen Nelson,9/28/18,-37.99928,Accumsan Convallis PC
Quentin Short,12/13/19,23.91882,Nulla Dignissim Maecenas Industries
Neil Lott,11/20/19,-49.12294,Libero Institute
Maggy Church,11/19/19,-61.94917,Ornare Placerat Orci Corp.
Dean Reynolds,4/7/20,-77.30918,Dictum Inc.
Xanthus Munoz,8/14/19,30.83291,Commodo Tincidunt Company
Brady Bates,9/10/19,-38.95545,Sit Institute
Tate Anderson,10/22/19,-74.72487,Penatibus Et Magnis Associates
Justin Matthews,8/1/20,17.49458,Et Ltd
Ignacia Kline,2/10/20,52.8868,Quis LLP
Inga Justice,9/23/18,-80.71521,Sed Nunc Est Institute
Alvin Zimmerman,9/3/18,45.06874,Mi LLC
